Price ($),Weight (carats)
"$1,430.00 ",0.45
"$1,237.00 ",0.42
$948.00 ,0.32
$968.00 ,0.31
"$1,175.00 ",0.48
"$1,005.00 ",0.35
"$1,116.00 ",0.39
"$1,387.00 ",0.49
"$1,092.00 ",0.47
"$1,401.00 ",0.4
$986.00 ,0.34
"$1,325.00 ",0.49
"$1,172.00 ",0.39
"$1,215.00 ",0.41
$978.00 ,0.36
"$1,071.00 ",0.36
"$1,091.00 ",0.37
"$1,091.00 ",0.37
"$1,091.00 ",0.37
$986.00 ,0.34
"$1,025.00 ",0.36
"$1,080.00 ",0.36
"$1,166.00 ",0.41
"$1,324.00 ",0.39
"$1,299.00 ",0.38
"$1,085.00 ",0.34
"$1,316.00 ",0.43
$997.00 ,0.3
"$1,019.00 ",0.31
"$1,130.00 ",0.36
"$1,381.00 ",0.44
"$1,334.00 ",0.42
"$1,737.00 ",0.48
"$1,587.00 ",0.48
"$1,359.00 ",0.38
"$1,203.00 ",0.37
"$1,243.00 ",0.37
"$1,392.00 ",0.38
"$1,664.00 ",0.46
"$1,504.00 ",0.46
"$1,071.00 ",0.32
"$1,071.00 ",0.3
"$1,589.00 ",0.46
"$1,641.00 ",0.49
"$1,117.00 ",0.34
"$1,109.00 ",0.45
"$1,457.00 ",0.43
"$1,531.00 ",0.43
"$1,488.00 ",0.39
"$1,488.00 ",0.39
"$1,476.00 ",0.41
"$1,163.00 ",0.36
"$1,172.00 ",0.32
"$1,276.00 ",0.5
"$1,276.00 ",0.5
"$1,301.00 ",0.5
"$1,522.00 ",0.5
"$1,279.00 ",0.5
"$1,524.00 ",0.5
"$1,206.00 ",0.5
"$1,365.00 ",0.5
"$1,432.00 ",0.5
"$1,347.00 ",0.5
$986.00 ,0.5
"$1,447.00 ",0.5
"$1,313.00 ",0.5
"$1,378.00 ",0.5
"$1,650.00 ",0.5
"$1,600.00 ",0.5
"$1,604.00 ",0.5
"$1,378.00 ",0.5
"$1,294.00 ",0.5
"$1,847.00 ",0.5
"$1,611.00 ",0.5
"$1,616.00 ",0.5
