Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
BEML,"2,187.00",-50.29%,"2,188.00","3,33,246","36,645.50",61.31,-43.57,"4,874.80","2,350.00",-50.18%,-45.12%,-45.15%,43.69%,345.60%,6.35,0.46%,6.52%,11.44%,68.76,"4,201.93","3,738.55",13.25,60.96%,80.00%
Global Health,"1,274.60",-2.81%,"1,313.00","6,64,372","35,251.90",66.13,32.94,"1,456.50",996.45,-4.08%,-3.77%,19.42%,206.91%,206.91%,10.43,-,13.43%,17.18%,17.97,"1,360.59","1,245.70",35.47,60.00%,75.00%
Aster DM Healthcare,678.45,0.06%,679,"4,41,528","35,131.20",100.51,32.94,732.2,387.1,5.08%,15.79%,54.58%,151.70%,400.52%,9.88,0.71%,4.07%,10.39%,2.47,653.69,555.43,48.87,60.00%,75.00%
Apar Industries,"8,539.50",-1.52%,"8,676.00","1,69,961","34,829.90",37.04,34.77,"11,779.90","4,308.05",1.52%,-4.75%,-11.25%,495.71%,2892.12%,7.17,0.59%,21.29%,30.72%,206.69,"8,451.90","7,651.65",46.57,62.23%,80.00%
Delhivery,472.25,1.35%,466.8,"17,77,980","34,825.80",175.36,25.16,489.1,236.53,7.99%,2.31%,33.57%,22.60%,-11.95%,3.7,-,-2.72%,2.66%,-,467.34,369.63,52.41,75.00%,70.00%
SJVN,88.01,-0.02%,88.3,"18,22,616","34,594.00",50.33,7.39,124.5,80.54,-3.78%,-5.46%,-21.00%,151.82%,296.44%,2.44,1.66%,9.81%,4.47%,2.35,91.97,94.37,37.2,71.64%,80.00%
Tata Elxsi,"5,434.00",-0.38%,"5,453.00","67,952","33,977.50",50.7,19.14,"7,474.00","4,700.00",1.47%,-9.90%,-22.76%,-21.16%,255.21%,12.58,1.37%,36.00%,52.73%,126.48,"5,485.05","5,830.04",46.82,76.00%,80.00%
Go Digit General Insurance,362.4,1.05%,356.85,"2,00,184","33,114.50",65.2,10.51,381.4,264.6,7.03%,0.58%,6.64%,18.43%,18.43%,7.15,-,5.31%,-3.88%,2.45,355.89,327.9,56.17,60.00%,70.00%
Hindustan Copper,341.75,0.44%,342,"40,56,269","32,903.00",67.64,19.8,365.5,183.82,0.99%,40.07%,17.28%,225.79%,927.82%,12.37,0.43%,14.18%,21.26%,3.74,300.5,252.63,56.04,70.91%,80.00%
Exide Industries,383.3,0.37%,382,"11,19,862","32,461.50",38,80.72,472.5,328,-3.71%,-1.92%,-13.87%,132.51%,139.34%,2.33,0.52%,6.84%,8.57%,10.29,401.47,381.59,39.39,76.00%,80.00%
Honeywell Automation,"36,615.00",0.33%,"36,670.00","1,432","32,267.10",63.07,44.1,"45,999.40","31,025.00",2.53%,-4.09%,-19.35%,-9.10%,29.58%,7.99,0.29%,13.90%,17.18%,604.64,"36,736.00","36,975.46",50.34,72.09%,80.00%
IPCA Laboratories,"1,309.70",3.03%,"1,271.20","1,26,927","32,250.90",39.41,54.8,"1,755.90","1,168.20",-0.26%,-9.25%,-17.39%,44.18%,13.12%,4.65,0.31%,6.85%,12.97%,23.14,"1,333.74","1,399.56",50.21,70.25%,80.00%
KPIT Technologies,"1,164.00",-0.23%,"1,166.70","3,85,914","31,984.40",39.61,19.14,"1,563.35","1,020.60",0.54%,-4.35%,-17.07%,66.48%,1136.98%,10.97,0.72%,27.67%,35.48%,24.17,"1,202.25","1,266.35",44.99,73.78%,80.00%
Apollo Tyres,509.45,1.59%,500.05,"8,39,770","31,850.30",38.29,35.77,557,370.9,7.67%,15.40%,5.00%,77.85%,256.38%,2.16,1.00%,12.39%,9.99%,26.73,484.45,454.3,61.68,71.32%,80.00%
NBCC,117.64,0.20%,116.8,"62,03,118","31,700.70",54.12,25.16,130.7,70.8,4.00%,6.14%,20.27%,435.46%,685.84%,12.79,0.57%,13.09%,26.58%,3.11,108.83,102.47,62.62,69.79%,80.00%
LIC Housing Finance,575.55,0.81%,572.95,"9,49,133","31,405.80",5.69,19.62,648.9,483.7,-0.50%,-2.62%,-7.59%,55.60%,90.11%,0.82,1.75%,15.12%,9.65%,86.33,570,577.79,50.59,76.00%,80.00%
Motherson Sumi Wiring,47.65,0.93%,46.99,"36,09,778","31,308.10",52.5,80.72,50.54,30.72,4.18%,24.61%,8.72%,23.16%,61.53%,18.45,0.49%,38.07%,43.19%,1.5,46.06,39.75,57.41,60.00%,75.00%
ITI,327,0.71%,324.8,"5,14,697","31,200.00",-166.64,26.87,592.7,220.15,3.53%,11.78%,47.84%,190.02%,181.41%,19.94,-,-,0.49%,-,317.25,300.64,50.51,50.00%,-
Aegis Vopak Terminals,277.05,-0.68%,280.7,"4,74,767","30,907.40",206.85,25.16,302,220,-2.24%,10.02%,14.48%,14.48%,14.48%,6.56,-,-,6.14%,-,260.74,-,53.68,60.00%,-
The New India Assurance Company,182.99,-2.18%,185.2,"7,72,920","30,829.10",25.77,10.51,221.8,135.6,-4.03%,-2.41%,-3.53%,106.19%,82.72%,1.36,0.96%,4.09%,-4.80%,6.65,191.77,179.17,36.72,63.68%,80.00%
Metro Brands,"1,154.70",2.29%,"1,136.10","60,089","30,736.60",85.71,30.61,"1,346.50",990.05,-7.89%,-2.93%,-4.51%,38.56%,134.05%,16.89,1.77%,23.08%,21.27%,15.13,"1,213.36","1,169.06",43,70.00%,80.00%
TVS Holdings,"15,062.00",-0.74%,"15,200.00","3,476","30,702.20",10.64,10.51,"15,840.00","7,855.25",14.01%,25.36%,19.08%,179.19%,179.19%,5.57,0.61%,-,15.27%,-,"13,297.88","10,867.50",65.2,-,-
AIA Engineering,"3,265.10",0.47%,"3,258.00","91,384","30,328.20",27.8,21.69,"3,863.15","3,001.10",1.27%,6.38%,-14.16%,18.05%,93.02%,4.44,0.49%,18.53%,19.72%,119.04,"3,164.53","3,285.15",51.57,73.00%,80.00%
Indraprastha Gas,215.15,1.51%,209.5,"23,22,896","29,671.60",17.87,25.16,229,153.05,2.93%,4.35%,4.29%,2.54%,5.68%,2.8,3.30%,20.67%,19.46%,27.78,211.77,203.6,55.27,73.97%,80.00%
Sona BLW Precision Forgings,481.25,1.80%,473,"8,25,005","29,391.90",48.44,80.72,720.9,380,14.67%,8.63%,-30.14%,3.24%,33.24%,5.35,0.68%,18.49%,13.84%,9.41,443.46,480.65,65.47,75.15%,80.00%
Gillette,"8,868.00",-1.65%,"9,020.00","36,360","29,380.50",51.12,50.62,"11,500.00","7,411.65",-6.52%,-15.94%,-14.67%,70.82%,66.62%,25.24,1.24%,35.97%,49.54%,118.9,"9,731.48","9,315.37",26.71,69.43%,80.00%
Garden Reach Shipbuilders,"2,573.80",0.69%,"2,556.10","3,74,801","29,280.60",52.24,25.16,"3,538.40","1,184.90",-5.53%,-1.94%,66.82%,410.73%,1256.42%,14.08,0.54%,16.14%,32.36%,32.11,"2,562.89","2,241.98",47.19,0.00%,70.00%
Mangalore Refinery & Petroleum,168.59,1.32%,166.4,"1,61,02,581","29,163.20",28.16,12.38,172.5,98.92,17.57%,32.82%,14.24%,206.81%,509.73%,2.19,-,27.08%,5.08%,15.18,136.72,133.37,76.89,63.33%,80.00%
Navin Fluorine International,"5,905.50",3.83%,"5,700.00","24,86,305","29,122.80",65.73,25.14,"5,839.00","3,180.00",28.38%,15.78%,78.02%,31.30%,154.67%,8.11,0.12%,11.35%,11.70%,44.02,"4,853.70","4,508.87",80.99,70.28%,80.00%
Star Health Insurance,487,-1.50%,494.55,"3,35,890","29,068.20",54.48,10.51,514.95,327.3,6.56%,11.88%,-0.37%,-31.56%,-46.30%,3.9,-,9.40%,-15.32%,14.96,461.89,426.41,55.39,60.00%,80.00%
Krishna Institute of Medical Sciences,726.75,0.79%,724.5,"1,31,735","28,852.00",71.43,32.94,798.4,474.05,5.27%,-2.73%,32.61%,145.38%,264.49%,13.5,-,16.05%,13.23%,39.48,728.91,667.37,51.92,65.00%,80.00%
Cohance Lifesciences,742.85,-1.40%,753.4,"11,72,079","28,822.60",87.58,54.8,"1,360.00",749.05,-15.17%,-22.50%,-43.75%,78.25%,133.89%,16.86,-,14.64%,13.36%,9.45,893.93,"1,026.86",25.27,60.00%,75.00%
Amber Enterprises,"7,957.50",-0.98%,"8,036.50","1,22,920","28,247.40",99.93,44.1,"8,626.00","5,235.00",-3.13%,-0.03%,32.83%,293.95%,251.49%,8.59,-,6.59%,14.95%,47.37,"8,034.92","7,039.48",40.52,69.46%,80.00%
Inventurus Knowledge Solutions,"1,648.00",0.13%,"1,663.00","6,51,353","28,239.20",46.35,19.14,"2,189.00","1,236.80",9.05%,5.01%,-15.95%,-15.95%,-15.95%,15.79,-,-,27.50%,-,"1,540.27","1,599.39",70.01,65.00%,70.00%
Tata Technologies,696.25,0.58%,692.25,"4,14,386","28,085.40",40.49,19.14,"1,038.00",597,-1.53%,0.32%,-31.11%,-46.97%,-46.97%,8.93,1.69%,21.09%,23.64%,16.02,692.38,709.05,50.98,75.00%,80.00%
Gujarat Gas,410.5,0.76%,410,"1,19,660","28,045.00",24.47,25.16,553,360.25,-5.99%,-2.51%,-20.14%,-20.54%,38.82%,3.3,1.43%,21.75%,16.33%,17.68,427.64,441.12,39.31,70.67%,80.00%
HBL Engineering,988.4,-1.57%,"1,004.20","10,79,116","27,835.90",81.87,80.72,"1,033.65",405,16.71%,62.03%,46.10%,46.10%,46.10%,18.76,0.10%,10.35%,24.90%,11.84,875.76,631.5,65.81,61.74%,75.00%
Affle 3i,"1,897.00",-1.74%,"1,950.00","2,34,163","27,152.00",67.65,19.14,"2,185.90","1,246.00",-2.15%,-0.88%,21.40%,63.11%,259.02%,9.16,-,16.73%,16.04%,22.65,"1,966.51","1,763.30",43.32,60.00%,70.00%
IRB Infrastructure Developers,45.19,0.89%,45,"79,27,758","27,048.70",4.14,-6.34,61.99,40.51,7.57%,-0.11%,-12.05%,94.28%,312.69%,1.36,0.67%,5.38%,17.25%,1.01,43.01,46.93,67.84,72.55%,80.00%
Inox Wind,157.25,1.37%,155.12,"62,89,056","26,810.20",55,34.77,224.01,128.46,11.23%,2.57%,-26.16%,327.31%,1656.98%,4.36,-,-29.66%,12.30%,0.66,146.68,159.76,66.46,67.59%,75.00%
Piramal Pharma,201.56,0.97%,199.76,"39,26,935","26,535.80",269.93,54.8,307.9,181.73,1.56%,3.35%,-26.92%,17.94%,8.63%,3.27,0.07%,0.23%,7.02%,0.3,197.23,206.78,54.23,72.62%,80.00%
J B Chemicals and Pharmaceuticals,"1,712.30",1.78%,"1,690.90","1,60,742","26,344.20",38.4,54.8,"1,952.00","1,385.75",2.63%,-0.01%,-7.49%,69.31%,248.43%,7.66,0.92%,18.90%,24.69%,37.83,"1,698.75","1,673.73",56.39,70.43%,80.00%
Aegis Logistics,768.1,2.39%,750.15,"8,52,216","26,330.30",32.73,42.65,"1,037.00",609.85,-12.83%,4.94%,-7.26%,8.88%,8.88%,5.69,1.07%,15.07%,11.67%,16.66,764.58,767.73,45.44,61.35%,79.99%
Dr. Lal Path Labs,"3,254.90",3.81%,"3,154.90","3,64,618","26,267.80",48.69,32.94,"3,540.00","2,293.55",4.07%,5.00%,5.94%,24.38%,41.53%,12.09,0.76%,19.22%,27.96%,45.65,"3,217.78","2,905.22",57.97,71.39%,80.00%
Ather Energy,691.65,-0.04%,700.05,"11,80,308","26,223.00",-32.59,12.42,790,288.15,16.64%,74.68%,128.80%,128.80%,128.80%,8.44,-,-,-75.66%,-,585.82,-,57.68,50.00%,80.00%
Syngene International,657.8,1.18%,654.55,"3,08,348","26,195.10",51.65,25.16,960.6,599.55,3.51%,-6.66%,-23.97%,2.92%,20.11%,5.54,0.19%,11.98%,13.20%,11.85,645.94,675.95,56.3,76.00%,80.00%
KIOCL,431.3,0.13%,427.05,"92,350","26,178.90",-136.7,19.8,634.55,209.84,-18.44%,10.55%,34.15%,142.03%,283.72%,15.29,-,-,-9.59%,-,453.51,331.42,44.04,-,-
PTC Industries,"17,354.00",0.41%,"17,151.00","9,292","25,897.10",422.5,21.69,"17,995.00","9,756.30",4.24%,17.19%,44.76%,465.25%,465.25%,18.67,-,-,5.96%,-,"15,433.74","14,395.44",65.99,50.00%,-
Anand Rathi Wealth,"3,099.10",0.35%,"3,111.30","1,12,898","25,640.10",74.34,10.51,"3,321.40","1,594.00",7.89%,16.98%,53.95%,771.19%,962.14%,31.71,0.45%,34.14%,54.40%,58.61,"2,982.63","2,261.29",53.54,60.00%,75.00%
Nuvama Wealth Management,"7,133.00",0.58%,"7,124.00","79,275","25,576.80",24.9,10.51,"8,508.50","4,735.45",5.60%,3.68%,1.95%,173.03%,173.03%,7.38,-,21.55%,23.65%,203.79,"6,732.43","6,500.50",54.14,50.00%,75.00%
Welspun Corp,952.85,-1.34%,970,"14,49,162","25,457.80",11.76,25.76,994,650.15,10.26%,7.50%,30.22%,334.50%,840.62%,3.1,0.52%,4.11%,28.96%,45.48,870.12,839.69,69.36,65.52%,80.00%
Brigade Enterprises,"1,041.40",0.36%,"1,038.90","3,92,667","25,370.00",31.24,-6.34,"1,340.50",852,16.13%,5.69%,-11.95%,109.81%,470.01%,3.92,0.24%,11.27%,12.78%,21.49,947.86,"1,025.59",68.82,67.19%,80.00%
Bandhan Bank,157.6,0.66%,156.6,"95,93,425","25,221.40",20.54,9.4,192.48,128.16,-5.04%,-6.21%,-12.53%,-32.55%,-48.88%,1.03,0.96%,10.32%,7.35%,15.97,164.87,162.12,40.34,59.47%,80.00%
Sumitomo Chemical,507.85,1.13%,504,"4,00,646","25,067.10",46.18,-23.88,665,446.2,-5.66%,-20.37%,-9.42%,3.65%,86.98%,7.84,0.24%,15.13%,22.88%,8.71,547.96,532.95,36.95,60.00%,75.00%
Emcure Pharmaceuticals,"1,326.00",0.54%,"1,328.90","2,02,073","24,994.30",32.46,54.8,"1,525.00",889,-1.04%,-6.02%,-8.14%,-2.44%,-2.44%,5.62,0.23%,16.90%,20.62%,26.63,"1,365.99","1,237.61",44.32,60.00%,-
Ramco Cements,"1,025.50",-1.81%,"1,049.00","2,58,845","24,679.60",77.62,60.26,"1,209.00",788.2,3.61%,-12.46%,16.84%,43.22%,23.99%,3.31,0.19%,5.43%,6.48%,13.66,"1,038.24",993.05,45.49,72.46%,80.00%
Firstsource Solutions,354.35,0.13%,354,"9,56,526","24,666.50",39.79,19.14,422.3,270,10.23%,3.04%,-1.34%,241.87%,410.59%,6.09,1.11%,13.91%,16.17%,7.43,347.39,352.36,60.16,64.77%,80.00%
Hatsun Agro Product,"1,073.30",-2.94%,"1,103.60","2,58,388","24,632.60",74.82,20.33,"1,200.00",859.55,16.51%,18.66%,0.49%,14.80%,80.17%,13.45,0.54%,17.00%,18.26%,14.26,927.64,935.06,66.15,50.00%,-
Sagility,52.49,-0.10%,53.3,"6,90,06,763","24,595.70",30.73,19.14,57.89,27.02,20.83%,15.19%,79.02%,79.02%,79.02%,2.77,-,-,8.91%,-,45.55,44.18,69.44,60.00%,70.00%
Shyam Metalics & Energy,901.2,2.66%,876,"3,20,022","24,503.60",26.5,25.76,"1,001.00",628.25,-7.17%,-7.82%,7.34%,198.11%,139.59%,2.32,0.51%,11.24%,11.83%,39.63,920.99,868.2,45.45,68.34%,80.00%
EIH Hotels,395.8,1.54%,389.9,"1,60,262","24,376.70",34.36,324.15,441.75,305,0.65%,4.85%,8.93%,110.03%,431.63%,5.29,0.38%,16.58%,19.87%,10.16,392.61,373.36,55.81,68.20%,80.00%
PNB Housing Finance,937.9,0.99%,929,"10,41,911","24,193.40",11.26,19.62,"1,141.90",746.7,5.61%,20.48%,-1.39%,168.09%,211.92%,1.35,0.54%,10.07%,9.27%,61.35,851.62,923.55,67.97,73.81%,80.00%
AstraZeneca Pharma,"9,827.50",2.85%,"9,555.00","35,845","23,887.50",130.02,52.29,"10,691.00","6,220.00",5.32%,9.71%,33.68%,192.02%,129.21%,30.95,0.34%,22.69%,19.36%,52.4,"9,050.37","8,477.32",75.67,60.00%,75.00%
CESC,179.88,-0.04%,180.36,"17,62,258","23,855.00",15.71,7.39,203.8,119,8.15%,9.82%,-0.53%,136.68%,216.52%,1.87,2.52%,12.08%,9.56%,10.61,167.16,159.68,59.24,74.93%,80.00%
Pfizer,"5,181.50",-0.53%,"5,212.50","14,894","23,830.00",29.46,52.29,"5,993.00","3,701.00",-0.79%,3.44%,-0.13%,15.31%,5.39%,5.65,3.17%,15.33%,23.60%,131.73,"5,221.83","4,907.14",44.23,71.85%,80.00%
Timken,"3,061.90",-2.61%,"3,144.10","50,642","23,648.80",52.06,28.62,"3,575.00","2,202.00",-0.46%,-0.96%,-13.15%,9.13%,188.91%,8.33,1.14%,16.22%,19.12%,52.95,"2,991.62","2,935.92",55.75,68.29%,80.00%
Deepak Nitrite,"1,736.40",0.46%,"1,728.90","63,822","23,574.20",38.84,25.14,"2,885.10","1,725.00",-6.23%,-4.46%,-34.42%,-25.13%,141.50%,4.38,0.43%,16.81%,14.43%,59.06,"1,787.05","1,953.61",36.66,60.00%,80.00%
ZF Commercial,"12,660.00",1.90%,"12,424.00","4,118","23,565.30",48.81,80.72,"15,290.00","9,561.00",-6.70%,-5.19%,-13.41%,26.67%,161.45%,7.34,0.15%,14.57%,18.66%,214.21,"13,389.02","12,707.71",39.3,68.36%,80.00%
Asahi India Glass,929.75,0.74%,927.5,"1,16,127","23,527.20",68.1,25.44,959.7,576.8,3.81%,11.99%,28.81%,50.24%,320.23%,6.41,0.21%,13.95%,13.02%,12.43,889.2,759.41,55.26,60.00%,70.00%
Karur Vysya Bank,251.8,3.56%,245.12,"73,12,500","23,493.50",11.16,9.4,251.95,154.62,20.37%,14.63%,35.41%,199.33%,838.50%,1.97,0.89%,15.98%,6.71%,21.19,220.68,200.45,70.11,69.32%,80.00%
Emami,533.7,-0.13%,535.15,"5,71,507","23,326.60",28.58,16.79,743,507.7,-3.06%,-12.72%,-21.01%,11.85%,43.22%,8.66,1.87%,29.46%,32.79%,17.04,568.25,578.38,37.9,68.66%,80.00%
Force Motors,"18,442.00",4.46%,"17,860.00","1,35,515","23,008.30",26.99,604.33,"21,990.00","6,125.00",9.73%,8.40%,149.77%,1257.48%,1704.50%,7.66,0.23%,17.20%,37.08%,330.24,"17,826.58","12,762.58",63.09,50.00%,75.00%
Netweb Technologies,"3,798.80",-5.92%,"3,858.00","23,51,508","22,875.70",177.24,18.14,"4,479.00","1,251.55",-11.90%,64.87%,43.72%,317.27%,317.27%,43.15,0.06%,17.95%,29.28%,15.3,"3,385.24","2,170.58",50.59,50.00%,70.00%
Manappuram Finance,267.85,-0.61%,269,"36,43,932","22,811.40",53.56,10.51,298,147.67,-6.41%,1.42%,75.18%,154.25%,68.35%,1.79,1.49%,18.98%,10.79%,26.55,282.87,245.44,33.06,73.96%,80.00%
Credit Access Grameen,"1,409.20",-1.01%,"1,412.70","1,71,173","22,756.10",169.41,10.51,"1,490.10",750.2,-0.12%,13.88%,47.56%,44.70%,121.14%,3.26,-,22.01%,9.69%,93.77,"1,372.59","1,175.55",52.44,63.87%,80.00%
IIFL Finance,540.45,1.09%,540.05,"35,79,789","22,720.00",22.17,10.51,551.95,279.8,18.21%,20.21%,20.54%,35.47%,597.62%,1.75,-,15.76%,8.01%,38.34,466.91,417.74,72.05,71.28%,65.00%
Tata Chemicals,875.35,-1.72%,867,"9,50,452","22,689.90",44.23,25.14,"1,159.20",756,-5.42%,-10.07%,-22.24%,-22.64%,182.23%,1.05,1.24%,1.94%,3.43%,29.55,931.56,903.66,34.55,76.00%,80.00%
Angel One,"2,563.80",2.86%,"2,492.40","6,23,626","22,598.20",28.91,10.51,"3,503.15","1,941.00",16.47%,-2.43%,-11.17%,61.95%,757.75%,3.89,1.92%,37.04%,33.08%,132.93,"2,334.54","2,490.95",67.14,69.05%,80.00%
eClerx Services,"4,733.00",0.11%,"4,740.00","1,13,743","22,527.20",37.76,19.14,"4,830.00","2,168.00",20.49%,15.80%,57.86%,258.28%,954.59%,8.84,0.02%,28.50%,27.85%,105.67,"4,289.41","3,461.12",65.74,67.08%,80.00%
Punjab & Sind Bank,31.86,1.89%,31.48,"51,63,099","22,187.90",19.2,10.41,56.3,25.22,6.41%,9.98%,-38.77%,86.32%,201.99%,1.77,0.22%,3.83%,5.58%,0.92,29.68,33.87,63.77,50.00%,-
Sun TV Network,564,0.39%,561.1,"71,221","22,139.70",13.23,12.08,782.9,518.05,-2.39%,-0.27%,-24.19%,3.54%,35.20%,1.9,2.67%,18.40%,18.95%,48.03,561.05,598.21,49.54,71.72%,80.00%
Anant Raj,650.2,0.90%,644,"18,54,621","22,119.70",50.32,-6.34,947.9,376.15,-9.67%,15.60%,-10.57%,488.68%,3502.22%,4.41,0.11%,7.18%,10.57%,8.81,617.16,566.91,52.66,50.00%,65.00%
Ola Electric Mobility,51.12,1.95%,48.65,"1,30,95,826","22,115.90",-9.42,54.4,102.5,39.6,-5.32%,25.14%,-36.76%,-43.95%,-43.95%,4.31,-,-,-25.40%,-,55.23,53.2,43.64,-,-
Aadhar Housing Finance,509.3,-0.11%,511.15,"2,86,363","22,081.20",23.27,19.62,547.8,346.05,-0.13%,1.84%,12.83%,54.59%,54.59%,3.48,-,14.73%,10.34%,18.84,515.41,460.19,46.51,60.00%,70.00%
Aditya Birla Sun Life AMC,767.85,0.77%,762,"1,09,331","21,995.80",22.6,10.51,911.85,556.45,-5.65%,-11.10%,-2.74%,82.43%,9.78%,6.16,3.16%,24.63%,32.26%,28.86,828.66,749.81,32.97,68.33%,80.00%
Bayer Crop Science,"4,871.70",-0.26%,"4,884.60","15,239","21,952.40",37.04,37.04,"6,862.25","4,217.45",-3.62%,-22.07%,-27.52%,5.43%,-9.47%,7.7,2.56%,25.99%,23.97%,148.24,"5,092.98","5,246.57",38.88,70.34%,80.00%
KEC International,811.5,-0.76%,818,"2,04,380","21,768.50",35.83,21.46,"1,313.25",627.45,-5.04%,-2.61%,-16.23%,89.60%,149.42%,4.07,0.67%,8.47%,23.37%,15.25,850.94,820.36,30.92,64.72%,80.00%
Eris Lifesciences,"1,597.30",0.35%,"1,602.00","67,296","21,681.10",52.68,26.33,"1,910.00","1,097.20",0.25%,-11.41%,21.23%,119.45%,208.30%,7.58,0.46%,16.85%,12.74%,27.95,"1,656.40","1,531.70",44.11,68.93%,80.00%
Kalpataru Projects International,"1,273.30",1.35%,"1,280.00","3,65,666","21,455.90",26.54,21.46,"1,352.85",786.3,1.95%,13.20%,0.73%,142.19%,142.19%,3.08,0.72%,10.09%,16.19%,30.04,"1,262.57","1,114.97",54.32,66.87%,80.00%
Onesource Specialty Pharma,"1,877.80",1.28%,"1,854.10","1,00,410","21,234.10","-1,687.77",54.8,"2,248.00","1,209.95",3.98%,-2.09%,9.81%,9.81%,9.81%,3.62,-,-,1.54%,-,"1,844.11",-,57.18,60.00%,70.00%
Neuland Laboratories,"17,159.00",4.16%,"16,552.00","76,688","21,134.70",120.3,60.61,"18,100.00","10,190.70",12.81%,31.15%,16.50%,1065.89%,1230.26%,13.91,0.07%,23.39%,20.69%,249.83,"15,228.58","13,178.75",66.86,36.00%,70.00%
Aditya Birla Real Estate,"1,875.00",-0.09%,"1,876.70","1,11,786","20,961.90",-94.29,-6.34,"2,980.00","1,562.60",15.80%,-3.11%,-31.80%,-30.19%,-30.19%,5.55,0.11%,7.45%,-1.54%,21.24,"1,753.54","1,980.98",65.79,64.39%,80.00%
Chalet Hotels,958.2,0.89%,946,"91,856","20,769.60",73.01,324.15,"1,082.00",634.05,-1.37%,6.73%,10.53%,160.70%,586.64%,6.83,-,15.03%,12.21%,11.47,988.48,878.05,49.57,68.91%,80.00%
Poly Medicure,"1,914.60",-4.26%,"2,005.00","1,54,227","20,262.10",56.64,32.94,"3,150.00","1,821.20",0.20%,-4.48%,-33.43%,111.43%,284.61%,7.32,0.18%,14.44%,16.46%,28.09,"1,970.60","2,182.32",47.42,50.00%,65.00%
Kansai Nerolac Paints,249.15,0.48%,248.15,"2,65,741","20,047.60",18.23,45.4,289.65,218.2,-1.27%,2.12%,-12.82%,-19.52%,-27.21%,3.12,1.51%,21.00%,22.31%,8.39,246.62,245.46,49.62,73.02%,80.00%
RBL Bank,328.75,0.74%,327.5,"56,70,523","20,005.90",37.01,9.4,331.5,146.1,19.16%,23.89%,91.18%,143.70%,78.18%,1.24,0.30%,8.49%,5.64%,21.3,283.69,222.6,72.87,57.29%,80.00%
Schneider Electric Infra,862.65,3.13%,842.4,"1,15,034","20,001.10",76.69,34.77,"1,052.00",540,0.81%,-16.41%,13.87%,368.96%,1154.76%,43.69,-,-,35.47%,-,854.8,755.19,55.11,-,-
DCM Shriram Consolidated,"1,277.20",-0.31%,"1,286.00","46,270","19,979.30",28.03,28.03,"1,502.30",902.6,6.80%,-7.25%,21.37%,24.72%,295.54%,2.77,0.71%,6.86%,11.19%,31.47,"1,231.13","1,160.53",56.29,66.49%,80.00%
Sundram Fasteners,955.5,0.64%,954.4,"4,49,496","19,949.60",35.86,80.72,"1,399.90",831.15,-6.83%,-1.55%,-29.78%,0.80%,123.95%,4.92,0.76%,15.27%,18.24%,25.5,"1,001.81",984.34,38.7,72.43%,80.00%
Devyani International,161.18,-0.38%,162.45,"24,74,089","19,932.70",-735.68,324.15,209.75,134,-3.69%,-1.65%,-4.14%,-12.14%,30.51%,13.18,-,-0.72%,6.57%,0.66,171.87,169.46,39.59,60.00%,75.00%
Redington,252.9,-0.33%,255.65,"30,71,839","19,837.50",10.81,42.65,334.8,176.94,-9.63%,0.40%,33.76%,60.88%,314.05%,2.28,2.68%,15.75%,27.87%,15.55,263.08,257.06,38.43,64.86%,80.00%
Jyoti CNC Automation,876.7,1.47%,867,"4,85,699","19,649.40",58.41,-43.57,"1,504.30",750.1,-4.79%,-14.85%,-16.77%,101.91%,101.91%,11.66,-,18.35%,25.44%,9.47,910.69,"1,033.67",41.82,50.00%,65.00%
Capri Global Capital,203.3,0.13%,203.6,"18,83,109","19,524.10",27.28,10.51,231.35,150.51,7.37%,6.93%,-1.36%,14.75%,246.22%,3.1,0.08%,5.74%,9.96%,3.53,191.26,175.93,61.63,50.00%,70.00%
Computer Age Management Services,"3,897.40",-1.11%,"3,924.10","2,48,008","19,508.00",42.49,25.16,"5,367.50","3,031.05",2.26%,2.60%,-14.20%,57.60%,207.94%,17.43,1.84%,38.33%,49.51%,78.32,"3,859.41","3,853.56",51.63,74.00%,80.00%
Castrol,196.21,0.62%,195.01,"11,47,536","19,288.90",20.18,25.14,251.95,162.6,-3.18%,-10.63%,-5.05%,60.17%,75.27%,10.61,6.66%,40.73%,53.57%,8.95,200.28,206.95,40.79,67.54%,80.00%
Chambal Fertilisers & Chemicals,488.3,1.55%,483.15,"5,49,337","19,265.40",11.01,34.91,742.2,452.35,-6.04%,-8.24%,2.35%,57.36%,202.07%,2.21,2.08%,17.58%,24.43%,34.58,522.26,559.57,41.55,73.76%,80.00%
Kajaria Ceramics,"1,184.60",-1.90%,"1,200.60","3,43,339","19,233.70",52.44,20.68,"1,321.90",758.7,-1.79%,-0.44%,-2.95%,12.14%,106.12%,7,0.75%,16.15%,16.54%,25.39,"1,220.74","1,053.62",39.13,70.59%,80.00%
Five Star Business Finance,660,1.11%,640,"23,26,067","19,221.50",17.39,10.51,850,501,23.61%,9.11%,-5.05%,34.69%,34.69%,2.82,0.31%,9.30%,13.86%,30.9,544.56,665.4,82.5,60.00%,75.00%
Sai Life Sciences,922.7,0.49%,917.8,"2,57,808","19,213.30",78.96,26.33,943,636.1,4.54%,14.56%,20.67%,20.67%,20.67%,9.06,-,-,12.52%,-,876.24,776.04,63.28,65.00%,70.00%
