Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Fiem Industries,"2,115.20",1.29%,"2,088.90","46,136","5,496.10",25.67,80.72,"2,275.00","1,255.10",9.21%,9.43%,34.45%,175.49%,753.76%,5.28,1.44%,18.70%,25.50%,68.05,"2,042.59","1,722.60",62.63,50.00%,65.00%
Infibeam Avenues,19.44,-0.31%,19.52,"59,41,906","5,453.00",24.38,19.14,26.42,13.63,16.27%,25.50%,-22.36%,26.40%,-1.47%,1.44,-,-,7.55%,-,17.23,17.25,68.68,50.00%,65.00%
Texmaco Rail & Engineering,135.62,-0.62%,136,"6,25,064","5,451.10",25.38,-43.57,239.74,119.06,-3.54%,-6.50%,-38.02%,170.43%,542.44%,2.04,0.54%,0.83%,14.75%,3.42,139.97,150.61,42.06,50.00%,55.00%
Laxmi Organic Industries,196.9,0.51%,195.9,"2,85,461","5,429.30",65.13,25.14,284,160.2,-8.35%,2.74%,-26.71%,-37.63%,19.73%,2.85,0.25%,6.70%,9.08%,4.21,210.23,198.26,40.99,68.30%,80.00%
Sequent Scientific,217.84,1.51%,215.99,"42,47,021","5,400.70",132.78,54.8,231,117.35,7.93%,26.14%,8.37%,109.66%,50.96%,7.68,-,-,9.58%,-,194.83,173.98,64.07,50.00%,-
Dynamatic Technologies,"8,050.50",1.70%,"7,968.00","14,174","5,376.10",126.44,-43.57,"8,937.00","5,444.15",14.67%,22.13%,8.86%,236.49%,1078.18%,7.48,0.03%,18.24%,10.93%,74.19,"7,153.45","6,849.50",64.73,50.00%,65.00%
Rajesh Exports,181.29,-0.34%,181.15,"2,02,469","5,371.10",72.99,39.24,267.85,151.11,-2.07%,-3.30%,-28.72%,-74.77%,-59.40%,0.34,-,9.73%,3.29%,11.36,185.87,188.23,47.24,50.00%,60.00%
Crizac,308.1,0.60%,306,"2,48,840","5,358.80",28.64,25.16,387.95,269.85,4.97%,-4.72%,0.15%,0.15%,0.15%,8.95,-,-,39.69%,-,323.98,-,49.62,-,70.00%
Kaveri Seed Company,"1,031.50",-0.80%,"1,039.80","50,907","5,348.60",16.79,25.16,"1,602.00",810.5,-1.05%,-5.69%,9.80%,115.61%,105.48%,3.56,0.48%,19.94%,19.03%,61.18,"1,109.83","1,171.65",35.73,50.00%,75.00%
eMudhra,640.2,-0.69%,645,"1,07,946","5,338.50",56.81,19.14,"1,024.00",625.15,-5.21%,-17.97%,-29.59%,89.16%,148.24%,7.16,0.19%,11.53%,14.08%,9.34,679.88,760.6,37.17,50.00%,70.00%
